"query","log2Enr","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","highlighted"
"query_1",4.62812111855605,TRUE,0.00200873246149521,3,295,3,0.0101694915254237,1,"CORUM:7280","CORUM","Bin1-Dnm1-Ehbp1 complex",7295,653,"CORUM:0000000",FALSE
"query_1",4.62812111855605,TRUE,0.0499989277873194,2,295,2,0.00677966101694915,1,"CORUM:6048","CORUM","Dynein-dynactin complex",7295,488,"CORUM:0000000",FALSE
"query_1",3.89115552438984,TRUE,0.0189000255018671,5,295,3,0.0101694915254237,0.6,"CORUM:6882","CORUM","Periaxin complex",7295,613,"CORUM:0000000",FALSE
"query_1",3.52858544500514,TRUE,0.0400994601740185,15,295,7,0.023728813559322,0.466666666666667,"GO:1903859","GO:BP","regulation of dendrite extension",7295,23940,"GO:0001558, GO:0022604, GO:0048638, GO:0097484",FALSE
"query_1",3.45819611711374,TRUE,0.00999921473224105,18,295,8,0.0271186440677966,0.444444444444444,"GO:0030507","GO:MF","spectrin binding",7295,3931,"GO:0008092, GO:0044877",FALSE
"query_1",2.95826972024838,TRUE,0.00344132138264309,35,295,11,0.0372881355932203,0.314285714285714,"GO:0044304","GO:CC","main axon",7295,2057,"GO:0030424, GO:0110165",FALSE
"query_1",2.51264390113611,TRUE,0.0369408241934691,52,295,12,0.0406779661016949,0.230769230769231,"GO:0036465","GO:BP","synaptic vesicle recycling",7295,9945,"GO:0006810, GO:0051649, GO:0099504",FALSE
"query_1",2.26822517346967,TRUE,0.0162054393943341,77,295,15,0.0508474576271186,0.194805194805195,"GO:0042734","GO:CC","presynaptic membrane",7295,1835,"GO:0097060, GO:0098793",FALSE
"query_1",2.24565148173364,TRUE,0.0493031356959315,73,295,14,0.0474576271186441,0.191780821917808,"GO:0007269","GO:BP","neurotransmitter secretion",7295,2830,"GO:0006836, GO:0007268, GO:0051649, GO:0099643",FALSE
"query_1",2.24565148173364,TRUE,0.0493031356959315,73,295,14,0.0474576271186441,0.191780821917808,"GO:0099643","GO:BP","signal release from synapse",7295,19734,"GO:0023061, GO:0099536",FALSE
"query_1",2.20185636385395,TRUE,0.012702508874903,86,295,16,0.0542372881355932,0.186046511627907,"GO:0050839","GO:MF","cell adhesion molecule binding",7295,7918,"GO:0005515",TRUE
"query_1",2.16868949991875,TRUE,0.000585504911581708,110,295,20,0.0677966101694915,0.181818181818182,"GO:0099504","GO:BP","synaptic vesicle cycle",7295,19651,"GO:0051649, GO:0099003",FALSE
"query_1",2.11154559281514,TRUE,0.00607539740065354,103,295,18,0.0610169491525424,0.174757281553398,"GO:0048813","GO:BP","dendrite morphogenesis",7295,13484,"GO:0016358, GO:0048667, GO:0048812",FALSE
"query_1",2.0881460726082,TRUE,6.30589200596972e-10,221,295,38,0.128813559322034,0.171945701357466,"GO:0050808","GO:BP","synapse organization",7295,13703,"GO:0034330",FALSE
"query_1",2.00663274180978,TRUE,4.44728988545187e-05,160,295,26,0.088135593220339,0.1625,"GO:0016358","GO:BP","dendrite development",7295,5283,"GO:0031175, GO:0048856",FALSE
"query_1",1.99585290305654,TRUE,0.00478681546534809,124,295,20,0.0677966101694915,0.161290322580645,"GO:0050807","GO:BP","regulation of synapse organization",7295,13702,"GO:0050803, GO:0050808, GO:0051128",FALSE
"query_1",1.99585290305654,TRUE,0.00478681546534809,124,295,20,0.0677966101694915,0.161290322580645,"GO:0008021","GO:CC","synaptic vesicle",7295,486,"GO:0070382, GO:0098793",FALSE
"query_1",1.98426492878132,TRUE,0.00549283984912076,125,295,20,0.0677966101694915,0.16,"GO:0050803","GO:BP","regulation of synapse structure or activity",7295,13698,"GO:0065008",FALSE
"query_1",1.95434935087704,TRUE,0.00379100713912885,134,295,21,0.0711864406779661,0.156716417910448,"GO:0099003","GO:BP","vesicle-mediated transport in synapse",7295,19549,"GO:0016192",FALSE
"query_1",1.95004921344341,TRUE,0.00822537776275058,128,295,20,0.0677966101694915,0.15625,"GO:0070382","GO:CC","exocytic vesicle",7295,2470,"GO:0030133, GO:0099503",FALSE
"query_1",1.9335341266604,TRUE,1.13625782058069e-14,369,295,57,0.193220338983051,0.154471544715447,"GO:0030424","GO:CC","axon",7295,932,"GO:0043005",FALSE
"query_1",1.93212730544615,TRUE,0.000286689485740957,162,295,25,0.0847457627118644,0.154320987654321,"GO:0097060","GO:CC","synaptic membrane",7295,2899,"GO:0045202, GO:0098590",FALSE
"query_1",1.92768140041496,TRUE,8.45233287030325e-06,195,295,30,0.101694915254237,0.153846153846154,"GO:0099572","GO:CC","postsynaptic specialization",7295,3375,"GO:0043226, GO:0098794",FALSE
"query_1",1.92768140041496,TRUE,3.56886749726361e-05,182,295,28,0.0949152542372881,0.153846153846154,"GO:0014069","GO:CC","postsynaptic density",7295,694,"GO:0032279, GO:0099572",FALSE
"query_1",1.91662621190596,TRUE,0.012159213969526,131,295,20,0.0677966101694915,0.152671755725191,"GO:0030427","GO:CC","site of polarized growth",7295,935,"GO:0110165",TRUE
"query_1",1.88764104021361,TRUE,7.04834754087867e-09,274,295,41,0.138983050847458,0.14963503649635,"GO:0098978","GO:CC","glutamatergic synapse",7295,3316,"GO:0045202",FALSE
"query_1",1.88561734084841,TRUE,2.42269834628603e-12,348,295,52,0.176271186440678,0.149425287356322,"GO:0098794","GO:CC","postsynapse",7295,3257,"GO:0045202, GO:0110165",FALSE
"query_1",1.88088718893602,TRUE,7.64980700123308e-05,188,295,28,0.0949152542372881,0.148936170212766,"GO:0030133","GO:CC","transport vesicle",7295,909,"GO:0012505, GO:0031410",FALSE
"query_1",1.85179309211907,TRUE,2.42930294542409e-10,322,295,47,0.159322033898305,0.145962732919255,"GO:0034330","GO:BP","cell junction organization",7295,8863,"GO:0016043",TRUE
"query_1",1.82814572686404,TRUE,0.000178516832435944,195,295,28,0.0949152542372881,0.143589743589744,"GO:0032279","GO:CC","asymmetric synapse",7295,1282,"GO:0098984",FALSE
"query_1",1.81220418299502,TRUE,0.00307492013392523,169,295,24,0.0813559322033898,0.142011834319527,"GO:0005938","GO:CC","cell cortex",7295,460,"GO:0005737, GO:0071944",FALSE
"query_1",1.79293198830172,TRUE,0.0141679366548845,157,295,22,0.0745762711864407,0.140127388535032,"GO:0048638","GO:BP","regulation of developmental growth",7295,13321,"GO:0040008, GO:0048589, GO:0050793",TRUE
"query_1",1.78566239554253,TRUE,0.00018519151175845,208,295,29,0.0983050847457627,0.139423076923077,"GO:0098984","GO:CC","neuron to neuron synapse",7295,3322,"GO:0045202",FALSE
"query_1",1.73735018831081,TRUE,0.0084036217591902,178,295,24,0.0813559322033898,0.134831460674157,"GO:0150034","GO:CC","distal axon",7295,3594,"GO:0030424, GO:0110165",FALSE
"query_1",1.70047196278073,TRUE,0.0244805132478174,175,295,23,0.0779661016949153,0.131428571428571,"GO:0034329","GO:BP","cell junction assembly",7295,8862,"GO:0022607, GO:0034330",FALSE
"query_1",1.69819955429219,TRUE,0.000757547421439119,221,295,29,0.0983050847457627,0.131221719457014,"GO:0050804","GO:BP","modulation of chemical synaptic transmission",7295,13699,"GO:0007268, GO:0099177",FALSE
"query_1",1.69819955429219,TRUE,0.000757547421439119,221,295,29,0.0983050847457627,0.131221719457014,"GO:0099177","GO:BP","regulation of trans-synaptic signaling",7295,19636,"GO:0010646, GO:0023051, GO:0099537",FALSE
"query_1",1.69523531441459,TRUE,1.00236958518365e-07,336,295,44,0.149152542372881,0.130952380952381,"GO:0048858","GO:BP","cell projection morphogenesis",7295,13527,"GO:0000902, GO:0030030, GO:0032989",FALSE
"query_1",1.68782736468032,TRUE,8.067544844549e-06,284,295,37,0.125423728813559,0.130281690140845,"GO:0099537","GO:BP","trans-synaptic signaling",7295,19667,"GO:0099536",FALSE
"query_1",1.6799036606586,TRUE,2.8987977222333e-06,301,295,39,0.132203389830508,0.129568106312292,"GO:0098793","GO:CC","presynapse",7295,3256,"GO:0045202, GO:0110165",FALSE
"query_1",1.67910504727485,TRUE,1.73550736127083e-05,278,295,36,0.122033898305085,0.129496402877698,"GO:0010975","GO:BP","regulation of neuron projection development",7295,4609,"GO:0031175, GO:0120035",FALSE
"query_1",1.67874719162602,TRUE,0.00103094627483083,224,295,29,0.0983050847457627,0.129464285714286,"GO:0051020","GO:MF","GTPase binding",7295,7933,"GO:0019899",TRUE
"query_1",1.6687631030534,TRUE,2.1268413377662e-05,280,295,36,0.122033898305085,0.128571428571429,"GO:0098916","GO:BP","anterograde trans-synaptic signaling",7295,19499,"GO:0099537",FALSE
"query_1",1.6687631030534,TRUE,2.1268413377662e-05,280,295,36,0.122033898305085,0.128571428571429,"GO:0007268","GO:BP","chemical synaptic transmission",7295,2829,"GO:0098916",FALSE
"query_1",1.66729171583673,TRUE,6.47329109979921e-07,327,295,42,0.142372881355932,0.128440366972477,"GO:0048812","GO:BP","neuron projection morphogenesis",7295,13483,"GO:0031175, GO:0120039",FALSE
"query_1",1.66701013194964,TRUE,3.29756941050979e-08,366,295,47,0.159322033898305,0.128415300546448,"GO:0032989","GO:BP","cellular anatomical entity morphogenesis",7295,8249,"GO:0009653",FALSE
"query_1",1.66636858791301,TRUE,3.65585041090855e-07,335,295,43,0.145762711864407,0.128358208955224,"GO:0120039","GO:BP","plasma membrane bounded cell projection morphogenesis",7295,20036,"GO:0048858",FALSE
"query_1",1.65508816615632,TRUE,0.00461030240128441,212,295,27,0.0915254237288136,0.127358490566038,"GO:0005543","GO:MF","phospholipid binding",7295,1510,"GO:0008289",TRUE
"query_1",1.65292450955662,TRUE,2.78848552124421e-07,346,295,44,0.149152542372881,0.127167630057803,"GO:0030425","GO:CC","dendrite",7295,933,"GO:0043005, GO:0097447",FALSE
"query_1",1.65292450955662,TRUE,2.78848552124421e-07,346,295,44,0.149152542372881,0.127167630057803,"GO:0097447","GO:CC","dendritic tree",7295,3005,"GO:0036477, GO:0043005",FALSE
"query_1",1.63764389267456,TRUE,1.25709197058145e-05,302,295,38,0.128813559322034,0.125827814569536,"GO:0099536","GO:BP","synaptic signaling",7295,19666,"GO:0007267",FALSE
"query_1",1.62202091901963,TRUE,9.03425491109865e-11,474,295,59,0.2,0.124472573839662,"GO:0036477","GO:CC","somatodendritic compartment",7295,1720,"GO:0110165",FALSE
"query_1",1.59440050071205,TRUE,5.23079530275461e-05,303,295,37,0.125423728813559,0.122112211221122,"GO:0048667","GO:BP","cell morphogenesis involved in neuron differentiation",7295,13350,"GO:0000902, GO:0048666",FALSE
"query_1",1.56770960186023,TRUE,5.20066739348707e-05,317,295,38,0.128813559322034,0.1198738170347,"GO:0050877","GO:BP","nervous system process",7295,13757,"GO:0003008",FALSE
"query_1",1.56037651192022,TRUE,9.57509876354614e-15,654,295,78,0.264406779661017,0.119266055045872,"GO:0043005","GO:CC","neuron projection",7295,1846,"GO:0120025",TRUE
"query_1",1.54774770209203,TRUE,3.96495920622757e-07,406,295,48,0.16271186440678,0.118226600985222,"GO:0061024","GO:BP","membrane organization",7295,15620,"GO:0016043",FALSE
"query_1",1.54065827730571,TRUE,0.0390335099272233,221,295,26,0.088135593220339,0.117647058823529,"GO:0023061","GO:BP","signal release",7295,6882,"GO:0007267, GO:0032940",FALSE
"query_1",1.53008903559552,TRUE,1.06299531202145e-14,685,295,80,0.271186440677966,0.116788321167883,"GO:0045202","GO:CC","synapse",7295,2140,"GO:0030054",TRUE
"query_1",1.52989758246793,TRUE,1.49346928629188e-08,471,295,55,0.186440677966102,0.116772823779193,"GO:0000902","GO:BP","cell morphogenesis",7295,242,"GO:0009653",FALSE
"query_1",1.51820342647801,TRUE,0.00744920580962585,259,295,30,0.101694915254237,0.115830115830116,"GO:0060627","GO:BP","regulation of vesicle-mediated transport",7295,15276,"GO:0016192, GO:0050794, GO:0051049",FALSE
"query_1",1.50473870305077,TRUE,0.000798451280947387,305,295,35,0.11864406779661,0.114754098360656,"GO:0010256","GO:BP","endomembrane system organization",7295,4071,"GO:0016043",FALSE
"query_1",1.48285817134801,TRUE,7.33188461448833e-09,522,295,59,0.2,0.113026819923372,"GO:0031175","GO:BP","neuron projection development",7295,7333,"GO:0048666, GO:0120036",FALSE
"query_1",1.46201782806615,TRUE,6.19437089654261e-05,377,295,42,0.142372881355932,0.111405835543767,"GO:0120035","GO:BP","regulation of plasma membrane bounded cell projection organization",7295,20034,"GO:0031344, GO:0120036",FALSE
"query_1",1.45267911214617,TRUE,0.0320644656988403,262,295,29,0.0983050847457627,0.110687022900763,"GO:0030695","GO:MF","GTPase regulator activity",7295,3988,"GO:0060589",TRUE
"query_1",1.45267911214617,TRUE,0.0320644656988403,262,295,29,0.0983050847457627,0.110687022900763,"GO:0060589","GO:MF","nucleoside-triphosphatase regulator activity",7295,8391,"GO:0030234",FALSE
"query_1",1.43923795940985,TRUE,0.000100692744469076,383,295,42,0.142372881355932,0.109660574412533,"GO:0031344","GO:BP","regulation of cell projection organization",7295,7392,"GO:0030030, GO:0051128",FALSE
"query_1",1.42497049358008,TRUE,9.79635357028996e-09,571,295,62,0.210169491525424,0.108581436077058,"GO:0048666","GO:BP","neuron development",7295,13349,"GO:0030182, GO:0048468",FALSE
"query_1",1.36855890462906,TRUE,5.49936047754224e-06,498,295,52,0.176271186440678,0.104417670682731,"GO:0008092","GO:MF","cytoskeletal protein binding",7295,1544,"GO:0005515",TRUE
"query_1",1.35665809065167,TRUE,0.0370610740880468,309,295,32,0.108474576271186,0.103559870550162,"GO:0008289","GO:MF","lipid binding",7295,1643,"GO:0005488",FALSE
"query_1",1.3330168117444,TRUE,0.00473327156624152,373,295,38,0.128813559322034,0.101876675603217,"GO:0051668","GO:BP","localization within membrane",7295,14335,"GO:0051641",FALSE
"query_1",1.33150411219787,TRUE,1.21140219894804e-13,904,295,92,0.311864406779661,0.101769911504425,"GO:0030054","GO:CC","cell junction",7295,868,"GO:0110165",FALSE
"query_1",1.32134524890123,TRUE,2.7012169957874e-08,663,295,67,0.227118644067797,0.10105580693816,"GO:0030182","GO:BP","neuron differentiation",7295,6936,"GO:0030154, GO:0048699",FALSE
"query_1",1.31861228292276,TRUE,0.0203658275050239,347,295,35,0.11864406779661,0.100864553314121,"GO:0032940","GO:BP","secretion by cell",7295,8206,"GO:0046903, GO:0140352",FALSE
"query_1",1.30195603078222,TRUE,0.0396426587210526,341,295,34,0.115254237288136,0.0997067448680352,"GO:0051050","GO:BP","positive regulation of transport",7295,13899,"GO:0006810, GO:0048518, GO:0051049",FALSE
"query_1",1.29380929921285,TRUE,3.08936553108641e-06,585,295,58,0.196610169491525,0.0991452991452991,"GO:0007267","GO:BP","cell-cell signaling",7295,2828,"GO:0007154, GO:0023052",FALSE
"query_1",1.27448416394135,TRUE,0.029084462594676,368,295,36,0.122033898305085,0.0978260869565217,"GO:0022603","GO:BP","regulation of anatomical structure morphogenesis",7295,6848,"GO:0009653, GO:0050793",FALSE
"query_1",1.26643531443095,TRUE,1.07708552316486e-07,699,295,68,0.230508474576271,0.0972818311874106,"GO:0048699","GO:BP","generation of neurons",7295,13381,"GO:0022008",FALSE
"query_1",1.25766312974103,TRUE,0.0184411883005295,393,295,38,0.128813559322034,0.0966921119592875,"GO:0099081","GO:CC","supramolecular polymer",7295,3342,"GO:0099080",TRUE
"query_1",1.25501429974312,TRUE,0.0403695223203043,373,295,36,0.122033898305085,0.096514745308311,"GO:0140352","GO:BP","export from cell",7295,20313,"GO:0006810, GO:0009987",FALSE
"query_1",1.24989262650544,TRUE,3.30410887795024e-13,1019,295,98,0.332203389830508,0.0961727183513248,"GO:0120025","GO:CC","plasma membrane bounded cell projection",7295,3443,"GO:0042995",FALSE
"query_1",1.24520239377954,TRUE,0.00252027443880521,459,295,44,0.149152542372881,0.0958605664488017,"GO:0098590","GO:CC","plasma membrane region",7295,3217,"GO:0005886, GO:0016020",FALSE
"query_1",1.23920868919382,TRUE,1.36143798742926e-13,1058,295,101,0.342372881355932,0.0954631379962193,"GO:0042995","GO:CC","cell projection",7295,1845,"GO:0110165",FALSE
"query_1",1.23766164199787,TRUE,0.0376551682328595,388,295,37,0.125423728813559,0.095360824742268,"GO:0046903","GO:BP","secretion",7295,12846,"GO:0006810",FALSE
"query_1",1.23450805577922,TRUE,0.000109008197215065,557,295,53,0.179661016949153,0.0951526032315978,"GO:0003008","GO:BP","system process",7295,1466,"GO:0032501",FALSE
"query_1",1.22654968687765,TRUE,0.0455167043541068,391,295,37,0.125423728813559,0.0946291560102302,"GO:0099512","GO:CC","supramolecular fiber",7295,3365,"GO:0099081",FALSE
"query_1",1.22439893250504,TRUE,8.50946745686734e-08,762,295,72,0.24406779661017,0.094488188976378,"GO:0016192","GO:BP","vesicle-mediated transport",7295,5229,"GO:0006810, GO:0009987",FALSE
"query_1",1.21128137664322,TRUE,4.00229449920621e-08,801,295,75,0.254237288135593,0.0936329588014981,"GO:0022008","GO:BP","neurogenesis",7295,6799,"GO:0007399, GO:0030154",FALSE
"query_1",1.1947854705578,TRUE,3.46157856762037e-07,767,295,71,0.240677966101695,0.0925684485006519,"GO:0120036","GO:BP","plasma membrane bounded cell projection organization",7295,20035,"GO:0030030",FALSE
"query_1",1.19214847274274,TRUE,1.15295216560549e-05,671,295,62,0.210169491525424,0.0923994038748137,"GO:0051049","GO:BP","regulation of transport",7295,13898,"GO:0006810, GO:0032879",FALSE
"query_1",1.18333627588315,TRUE,3.45697968908473e-07,784,295,72,0.24406779661017,0.0918367346938776,"GO:0030030","GO:BP","cell projection organization",7295,6891,"GO:0016043",FALSE
"query_1",1.12242189635955,TRUE,0.00164511024740534,602,295,53,0.179661016949153,0.0880398671096345,"GO:0051130","GO:BP","positive regulation of cellular component organization",7295,13955,"GO:0016043, GO:0048522, GO:0051128",FALSE
"query_1",1.10856850748118,TRUE,9.24515485289618e-06,539,295,47,0.159322033898305,0.0871985157699443,"CORUM:0000000","CORUM","CORUM root",7295,1,"",FALSE
"query_1",1.10319620062073,TRUE,3.63087148528347e-09,1059,295,92,0.311864406779661,0.0868744098205855,"GO:0007399","GO:BP","nervous system development",7295,2932,"GO:0048731",FALSE
"query_1",1.04958488699433,TRUE,1.05363437425636e-05,896,295,75,0.254237288135593,0.0837053571428571,"GO:0032879","GO:BP","regulation of localization",7295,8155,"GO:0050789, GO:0051179",FALSE
"query_1",1.04616736770723,TRUE,2.33384607651426e-06,958,295,80,0.271186440677966,0.0835073068893528,"GO:0031982","GO:CC","vesicle",7295,1228,"GO:0043227",FALSE
"query_1",1.032831479673,TRUE,0.0030723723201391,701,295,58,0.196610169491525,0.0827389443651926,"GO:0007010","GO:BP","cytoskeleton organization",7295,2653,"GO:0006996",TRUE
"query_1",0.972455626491692,TRUE,0.000224811372950753,920,295,73,0.247457627118644,0.0793478260869565,"GO:0097708","GO:CC","intracellular vesicle",7295,3137,"GO:0031982, GO:0043231",FALSE
"query_1",0.965597634541241,TRUE,6.57527923247758e-06,1089,295,86,0.291525423728814,0.0789715335169881,"GO:0051649","GO:BP","establishment of localization in cell",7295,14317,"GO:0051234, GO:0051641",FALSE
"query_1",0.955695776584554,TRUE,0.000492680795490777,918,295,72,0.24406779661017,0.0784313725490196,"GO:0031410","GO:CC","cytoplasmic vesicle",7295,1106,"GO:0005737, GO:0097708",FALSE
"query_1",0.952556069053987,TRUE,0.00589415259444249,805,295,63,0.213559322033898,0.0782608695652174,"GO:0015031","GO:BP","protein transport",7295,4854,"GO:0045184, GO:0071702, GO:0071705",FALSE
"query_1",0.918759324725652,TRUE,0.017788947760171,811,295,62,0.210169491525424,0.0764488286066584,"GO:0046907","GO:BP","intracellular transport",7295,12847,"GO:0006810, GO:0051641, GO:0051649",FALSE
"query_1",0.914180965488567,TRUE,1.40515063779946e-05,1181,295,90,0.305084745762712,0.0762066045723963,"GO:0048468","GO:BP","cell development",7295,13194,"GO:0030154, GO:0048856, GO:0048869",FALSE
"query_1",0.912311138375272,TRUE,0.000292435599615946,1038,295,79,0.267796610169492,0.0761078998073218,"GO:0009653","GO:BP","anatomical structure morphogenesis",7295,3608,"GO:0032502, GO:0048856",FALSE
"query_1",0.889035472515474,TRUE,1.31388717225943e-06,1362,295,102,0.345762711864407,0.0748898678414097,"GO:0008104","GO:BP","protein localization",7295,3157,"GO:0070727",FALSE
"query_1",0.882166741162589,TRUE,1.65449131725382e-10,1771,295,132,0.447457627118644,0.0745341614906832,"GO:0051641","GO:BP","cellular localization",7295,14309,"GO:0009987, GO:0051179",TRUE
"query_1",0.880586282679656,TRUE,1.88536139609006e-06,1370,295,102,0.345762711864407,0.0744525547445255,"GO:0070727","GO:BP","cellular macromolecule localization",7295,16772,"GO:0033036, GO:0051641",FALSE
"query_1",0.866789079605328,TRUE,6.27200892125835e-05,1234,295,91,0.308474576271186,0.0737439222042139,"GO:0051128","GO:BP","regulation of cellular component organization",7295,13953,"GO:0016043, GO:0050794",FALSE
"query_1",0.842139847291012,TRUE,0.0312006376389484,938,295,68,0.230508474576271,0.0724946695095949,"GO:0045184","GO:BP","establishment of protein localization",7295,11702,"GO:0008104, GO:0051234",FALSE
"query_1",0.833888323716993,TRUE,0.0202446101385295,985,295,71,0.240677966101695,0.0720812182741117,"GO:0071705","GO:BP","nitrogen compound transport",7295,17375,"GO:0006810",FALSE
"query_1",0.829677250405842,TRUE,3.79941969062612e-07,1614,295,116,0.393220338983051,0.0718711276332094,"GO:0071944","GO:CC","cell periphery",7295,2793,"GO:0110165",FALSE
"query_1",0.815256215106167,TRUE,2.21533359925432e-06,1574,295,112,0.379661016949153,0.071156289707751,"GO:0048731","GO:BP","system development",7295,13413,"GO:0007275, GO:0048856",FALSE
"query_1",0.815228012957015,TRUE,1.42819954640701e-08,1827,295,130,0.440677966101695,0.0711548987411056,"GO:0006810","GO:BP","transport",7295,2519,"GO:0051234",FALSE
"query_1",0.806256905171389,TRUE,1.54088619647272e-05,1499,295,106,0.359322033898305,0.0707138092061374,"GO:0005886","GO:CC","plasma membrane",7295,422,"GO:0016020, GO:0071944",FALSE
"query_1",0.783886130797299,TRUE,0.012560727090702,1149,295,80,0.271186440677966,0.0696257615317667,"GO:0065008","GO:BP","regulation of biological quality",7295,16385,"GO:0065007",FALSE
"query_1",0.77619698216546,TRUE,4.29513223510426e-05,1545,295,107,0.36271186440678,0.0692556634304207,"GO:0033036","GO:BP","macromolecule localization",7295,8276,"GO:0051179",FALSE
"query_1",0.772568903532227,TRUE,0.0117432966617687,1187,295,82,0.277966101694915,0.0690817186183656,"GO:0019899","GO:MF","enzyme binding",7295,3728,"GO:0005515",FALSE
"query_1",0.746993619012613,TRUE,3.69036637283193e-05,1665,295,113,0.383050847457627,0.0678678678678679,"GO:0030154","GO:BP","cell differentiation",7295,6924,"GO:0048869",FALSE
"query_1",0.74612739560569,TRUE,3.83344630224228e-05,1666,295,113,0.383050847457627,0.0678271308523409,"GO:0048869","GO:BP","cellular developmental process",7295,13537,"GO:0009987, GO:0032502",FALSE
"query_1",0.74365441196631,TRUE,2.37606238620941e-07,1979,295,134,0.454237288135593,0.067710965133906,"GO:0051234","GO:BP","establishment of localization",7295,14032,"GO:0051179",FALSE
"query_1",0.715955580906857,TRUE,0.012094996378263,1370,295,91,0.308474576271186,0.0664233576642336,"GO:0022607","GO:BP","cellular component assembly",7295,6852,"GO:0016043, GO:0044085",FALSE
"query_1",0.693125185267177,TRUE,5.53667701883781e-05,1866,295,122,0.413559322033898,0.0653804930332262,"GO:0007275","GO:BP","multicellular organism development",7295,2835,"GO:0032501, GO:0048856",FALSE
"query_1",0.691793136594286,TRUE,3.8912705764346e-08,2327,295,152,0.515254237288136,0.0653201547056296,"GO:0051179","GO:BP","localization",7295,14002,"GO:0008150",FALSE
"query_1",0.592261069199482,TRUE,2.90641325539982e-05,2444,295,149,0.505084745762712,0.0609656301145663,"GO:0032502","GO:BP","developmental process",7295,7884,"GO:0008150",FALSE
"query_1",0.578948276574348,TRUE,0.000620404191941637,2268,295,137,0.464406779661017,0.0604056437389771,"GO:0048856","GO:BP","anatomical structure development",7295,13525,"GO:0032502",FALSE
"query_1",0.574328301195347,TRUE,3.45381673216947e-05,2541,295,153,0.51864406779661,0.0602125147579693,"GO:0032501","GO:BP","multicellular organismal process",7295,7883,"GO:0008150",FALSE
"query_1",0.565218548726675,TRUE,0.0437104426350389,1922,295,115,0.389830508474576,0.0598335067637877,"GO:0012505","GO:CC","endomembrane system",7295,687,"GO:0110165",FALSE
"query_1",0.530567779598884,TRUE,3.5024337126983e-06,3013,295,176,0.596610169491525,0.0584135413209426,"GO:0016043","GO:BP","cellular component organization",7295,5137,"GO:0071840",FALSE
"query_1",0.481937204166467,TRUE,7.13396893499659e-05,3134,295,177,0.6,0.0564773452456924,"GO:0071840","GO:BP","cellular component organization or biogenesis",7295,17446,"GO:0009987",FALSE
"query_1",0.445669019237574,TRUE,0.00170330407000788,3123,295,172,0.583050847457627,0.0550752481588216,"GO:0016020","GO:CC","membrane",7295,720,"GO:0110165",FALSE
